batch,file,shellnoun,annotator,answer,difficulty,comment
1,1,issue,1,The changing of the United States Constitution to give counties the ability to create permanent housing.,2,
1,1,issue,2,Mr Brodsky is criticizing Mr O'Rourke for not dealing with the homeless correctly. He says that Mr O'Rourke basically just wants to build extra houses rather than amend the existing ones.,5,"I found that article very challenging to get my head around, especially as politics is not a subject of great interest to me. "
1,1,issue,3,"Aside from New York city, Westchester has the largest population of homeless people in the state.",5,"They mentioned a lot of issues, which makes it hard to pinpoint the main issue. But the fact that they refer a lot to how people are homeless, gives a sense that that's the main issue."
1,1,issue,4,about abortion,5,too many details in short paragraph.for an example lot of date of years and numbers.
1,1,issue,5,Abortion rights,2,
1,2,issue,1,The discussion between the Soviet Union and the United Kingdom of disarmament of conventional weapons,4,
1,2,issue,2,the destruction of conventional military equipment,3,I found this article easier to get my head around than the last one for sure 
1,2,issue,3,The issue regarding President Mikail S. Gorbachev and Prime Minister John Major on their countries differences over the proposed treaty for the reduction of conventional arms,5,
1,2,issue,4,the reduction of conventional arms,4,this can understand than first page.already reduced the lot of details.
1,2,issue,5,A treaty between the UK and the USSR regarding the reduction of conventional arms,1,
1,3,fact,1,"It refers to the agreement that English is the most used language when it comes to commerce, government and everyday life.",1,
1,3,fact,2,the fact is referring to making English the official language of America.,2,A lot easier to read and understand. It made a lot more sense and was simpler to read.
1,3,fact,3,"English is the main language of commerce, government and everyday life in the United states.",1,
1,3,fact,4,make English the official language of the United States.,3,there is no hard vocabulary.anybody who has normal knowledge of English can understand this one.
1,3,fact,5,That English is the most spoken language in the USA,1,
1,4,issue,1,The issue of whether the Federal government should take over control of the state welfare systems in place currently,4,
1,4,issue,2,it refers to welfare benefits/programs of mothers,2,The title of the article made this one easier to understand 
1,4,issue,3,But he said he saw no basis for Mr. Moynihan's faith that Federal welfare programs would work if they were simply revised around the edges.,2,
1,4,issue,4,that Federal welfare programs would work if they were simply revised around the edges.,4,too many names.its hard to concentrate about one person
1,4,issue,5,"State controls over welfare programs - if passed, states could essentially distribute welfare as they saw fit",2,
1,5,fact,1,The fact that men are moving away from typical formal wear like tuxedos and opting for a wider range of formal fashion is creating a lot of fashion mistakes,3,
1,5,fact,2,It refers to the way people are dressing now - people are now more likely to buy a blazer to pair with jeans rather than a full suit.,2,"the title was a little confusing, which makes you want to read the article to see what it is about"
1,5,fact,3,"With a wider range of options, the margin for error 8increases exponentially",1,
1,5,fact,4,"mixing a formal shirt with a leather jacket, or a velvet Chesterfield with jeans
kind of men#s fashion",4,lot of sayings are here.and we have to read again who said what and what.had to read 10 times.
1,5,fact,5,The fact refers to the increased margin of error because of the wider range of options for mens fashion,3,
1,6,issue,1,That the American officials mistook a Bosnian held corridor for a Serbian one,2,
1,6,issue,2,the Bosnian government who are Muslim lead starting a war,2,i had to read most of the article to pick out the issue
1,6,issue,3,The issue of an objection from a Muslim-led Bosnian Government to the accord that the American officials believed they had just reached on the width of strategic Serbian-held corridor in northern Bosnia.,2,
1,6,issue,4,"in the words of one person who was present, ""there was an eruption and peace went out the window.",2,"no hard vocabulary and easy to understand 
highlight part was also in second paragraph"
